Gender,Age,Marital status,household size,What is your highest Level of education?,Do you speak/ understand english,Is farming your primary occupation?,What is your farm Size in acres?,How long have you been in vegetable farming? (years),Are you the Owner of the Farm?,Type of farming system,Do you own a phone?,What type of Phone?,Do you have access to the internet?,Do you have access to any extension officer?,How many visits do you receive from the extension officer in a month?,How much do you earn from farming in a year?,Have you heard about digital agricultural platforms/services?,How did you hear about it?,Radio,Television,Extension agent,Fellow Farmer,FBO,Other,"if other, indicate....",Which of the following digital technology services do you know about? (Tick all you  know about),weather_update services,inputs_seed_fertilizer_agrochemicals-yes or no,market_linkage_platforms,mobile_based_training_services,market_prices_updates_services,Crop_insurance_services,Digital_finance_services_platforms,Pest_and_disease_management_services,Farm_management_platforms_and_tools,Information_and_advisory_services,Supply_chain_management_platforms,Are you registered with any agricultural digital platform/service?,"If yes, Which platform or Service are you registered on?",How_long_have_you_been_on_the_platform_,"A company offers a comprehensive digital technology service tailored to your agricultural  needs.The company provides essential market information, real-time weather updates, facilitates  supply chain linkages crucial for optimizing your production and…",Would you be willing to pay for such services?,"If yes,would you pay GHC 13 a month for such services?","If no,would you pay GHC 10 a month for such services?","Considering the benefits the services come with, would you pay GHC 15 a month for it?",Is ease of use of digital technology services an important factor in your decision to pay  for digital technology services?,Does the cost of digital technology services affect your decision to pay for digital  technology services?,Are you a member of a farmer group or cooperative?,"If yes,does your membership in a farmer group influence your decision to pay for digital  technology services?",Does your farm income play a role in your decision to pay for digital technology  services?,Will the farming system you are practicing affect you in deciding to pay for digital  technology services?,Is internet accessibility important to you when deciding on weather to pay for digital  technology services?,Do you consider recommendations from agricultural experts and fellow farmers when making a decision to pay for digital technology services?,Does the quality and support services influence your willingness to pay for digital  agricultural services in your production and marketing activities?,Does the effectiveness of digital technology services in production and marketing of  vegetable produce influence your willingness to pay for it?,Do you have access to any financial assistance?,"If yes, is your access to financial assistance an important factor in your decision to pay  for digital technology services in your production and marketing activities?",Do you have a ready market for your farm produce?,"If yes,do you think digital platforms will be of use to you in marketing your farm  produce?",Are you open to exploring new ideas and approaches in your day-to-day agricultural  practices?,Do your personal values and beliefs influence your decision to pay for a digital service?,Will your familiarity with the service provider influence your decision to pay for digital  technology services?,Are there any cultural or norms in this community that may affect your decision to pay  for digital technology services?,Do you experience significant variability in weather?,"If yes,would you pay for digital weather update services to help you in your production  activities?",Do you have insurance coverage for your farm?,"If no, would you invest in digital technology services to mitigate risk and reduce  insurance cost?",Would government regulations and policies on digital technology services encourage you  to adopt and pay for them?,Do you think digital technology services are necessary in staying competitive in today’s  agricultural industry?,Will the size of your farm influence your willingness to invest in digital technology  services?,Would you say that smaller farms are hesitant to invest in digital technology services?,Do you believe that larger farms are more likely to see significant return on investment  from adopting digital technology services?,Will the scale of your farm operations affect your budget for adopting digital technology  services?,Do you agree that smaller farms are unable to benefit from the data driven insights  provided by digital technology services?,"Rank the following constraints in order of severity from 1 to 12, where 1 is the most  constraint and 12 is the least pressing constraint",Constraints,Technical complexity,Concerns about data privacy and security,Difficulty in understanding digital content,High service cost,Lack of government support,Difficulty in finding services tailored to solve specific problems,Network/Infrastructural challenges,Lack of adequate information about digital technology services and benefits,Limited trust in digital agricultural service providers,Limited flexibility in payment plan for digital technology service packages,Limited after sale support for farmers on the efficient use of digital technology services,Difficulty in integrating digital technology service data with existing systems
Female,50,Widowed,4,Primary,Yes,No,1,15,No,Commercial,Yes,Conventional (Yam),No,No,,5000,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,No,Yes,Yes,No,Yes,No,No,,No,,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,,3,12,2,11,4,5,6,1,9,10,7,8
Female,46,Married,5,Middle/JSS/JHS,Yes,No,1,6,No,Commercial,Yes,Conventional (Yam),No,No,,7500,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,,3,12,2,11,4,10,9,1,5,8,6,7
Female,40,Married,7,Primary,Yes,Yes,1,10,No,Commercial,Yes,Conventional (Yam),No,No,,8400,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,no,no,no,no,yes,no,no,yes,no,Yes,Digital finance services/platform,5,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,,,5,12,4,6,7,3,8,1,2,9,10,11
Male,30,Single,2,Tertiary,Yes,No,1,1,Yes,Subsistence,Yes,Smartphone,Yes,No,,5500,Yes,2 4,0,1,0,1,0,0,,,yes,yes,yes,no,no,no,no,yes,yes,yes,no,Yes,Home Gardeners Association,1,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,1,9,7,2,3,4,5,12,10,6,8,11
Male,34,Married,6,SHS,Yes,Yes,2,10,Yes,Commercial,Yes,Smartphone,Yes,No,,3800,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,yes,yes,no,no,no,no,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,1,3,6,5,8,2,4,7,11,10,12,9
Male,42,Married,8,Middle/JSS/JHS,Yes,Yes,3,18,Yes,Commercial,Yes,Conventional (Yam),No,No,,4800,No,,,,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,,No,,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,1,5,2,6,10,9,4,7,11,12,3,8
Female,52,Widowed,3,No formal education,No,Yes,1,28,Yes,Subsistence,Yes,Conventional (Yam),No,No,,6500,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,,No,,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,,,1,6,2,5,12,7,3,4,8,9,11,10
Male,62,Widowed,3,Primary,No,Yes,2,38,Yes,Commercial,Yes,Conventional (Yam),No,No,,8500,No,,,,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,,No,,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,,,1,5,2,6,10,9,4,7,11,12,3,8
Male,30,Married,4,SHS,Yes,Yes,3,5,No,Commercial,Yes,Smartphone,Yes,Yes,1,9800,Yes,2 4,0,1,0,1,0,0,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,,1,6,2,5,12,7,3,4,8,9,11,10
Male,45,Married,7,No formal education,Yes,Yes,3,20,Yes,Commercial,Yes,Conventional (Yam),Yes,No,,10000,Yes,1 2 4 6,1,1,0,1,0,1,Internet,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,,,2,7,1,8,12,6,3,9,4,10,11,5
Male,65,Married,10,Middle/JSS/JHS,Yes,Yes,2,40,Yes,Commercial,Yes,Conventional (Yam),No,Yes,2,5000,Yes,1 2 3,1,1,1,0,0,0,,,yes,no,no,no,no,no,no,no,no,yes,no,No,,,,Yes,Yes,,Yes,No,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,,,12,11,2,10,1,3,9,4,8,7,5,6
Male,65,Married,10,No formal education,Yes,Yes,2,40,Yes,Commercial,Yes,Conventional (Yam),No,Yes,2,5000,Yes,1 2 3,1,1,1,0,0,0,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,No,No,,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,,,3,6,5,7,8,9,4,11,12,2,10,1
Female,46,Married,7,Primary,Yes,No,1,6,No,Commercial,Yes,Conventional (Yam),No,No,,4000,Yes,Radio,1,0,0,0,0,0,,,no,no,no,no,no,no,yes,no,no,yes,no,Yes,Digital financial services,4,,Yes,Yes,,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,,5,6,4,7,1,3,8,2,9,10,12,11
Male,57,Married,9,Primary,Yes,Yes,3,20,Yes,Commercial,Yes,Conventional (Yam),No,No,,7000,Yes,Extension agent,0,0,1,0,0,0,,,yes,no,no,no,no,yes,yes,no,no,yes,no,Yes,Digital financial services,5,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,,4,5,3,6,7,2,8,1,9,10,11,12
Male,28,Single,1,SHS,Yes,No,1,4,No,Commercial,Yes,Smartphone,Yes,No,,6500,Yes,Other,0,0,0,0,0,1,internet,,yes,no,no,no,no,no,yes,no,no,yes,no,Yes,Digital finance services,5,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,1,12,11,10,2,3,9,4,8,7,5,6
Female,46,Married,7,No formal education,No,No,1,10,No,Commercial,Yes,Smartphone,Yes,No,,6000,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,no,no,no,no,yes,no,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,No,,,2,12,3,10,11,4,5,1,9,6,8,7
Male,55,Married,8,Middle/JSS/JHS,Yes,No,2,17,Yes,Commercial,Yes,Conventional (Yam),No,No,,8000,No,,,,,,,,,,yes,no,no,no,no,no,yes,no,no,yes,no,No,,,,No,,No,No,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,,,5,11,2,12,6,4,3,1,7,8,9,10
Male,61,Married,11,Primary,Yes,Yes,2,20,Yes,Commercial,Yes,Conventional (Yam),No,Yes,2,7400,No,,,,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,,,8,9,1,7,6,5,10,4,11,12,3,2
Male,58,Married,6,Primary,Yes,Yes,2,25,Yes,Commercial,Yes,Conventional (Yam),No,No,,8400,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,yes,no,no,no,no,yes,no,no,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,,3,7,10,11,9,5,4,6,8,12,2,1
Male,42,Married,6,Middle/JSS/JHS,Yes,Yes,2,9,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,5300,Yes,1 2 3,1,1,1,0,0,0,,,yes,yes,no,yes,no,no,yes,yes,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,No,No,,No,No,Yes,No,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,,1,3,6,5,2,4,8,9,7,11,12,10
Male,56,Married,8,No formal education,No,Yes,3,30,Yes,Commercial,Yes,Conventional (Yam),No,No,,6900,Yes,1 2,1,1,0,0,0,0,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,,,1,5,2,6,10,9,4,7,11,12,3,8
Female,60,Widowed,3,No formal education,No,Yes,1,40,Yes,Commercial,Yes,Conventional (Yam),No,No,,5000,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,No,No,No,,No,No,Yes,No,Yes,No,No,,No,,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,,,2,7,1,8,12,6,3,9,4,10,11,5
Male,36,Married,4,SHS,Yes,No,2,5,Yes,Commercial,Yes,Smartphone,Yes,No,,8500,Yes,1 2 4 5,1,1,0,1,1,0,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,No,No,,No,No,Yes,No,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,1,6,2,5,12,7,3,4,8,9,11,10
Male,45,Married,7,Middle/JSS/JHS,Yes,Yes,2,20,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,7000,Yes,1 3 4,1,0,1,1,0,0,,,yes,no,no,no,no,no,no,yes,no,no,no,No,,,,Yes,Yes,,Yes,Yes,No,No,,No,No,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,,1,6,2,5,12,7,3,4,8,9,11,10
Male,38,Married,3,Primary,Yes,No,2,4,Yes,Commercial,Yes,Smartphone,Yes,No,,7000,Yes,1 2 4 5,1,1,0,1,1,0,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,,1,3,6,5,2,8,9,7,11,10,12,4
Male,52,Married,8,Middle/JSS/JHS,Yes,Yes,3,35,Yes,Commercial,Yes,Conventional (Yam),No,Yes,2,5000,Yes,1 4,1,0,0,1,0,0,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,1,5,2,6,10,9,4,7,11,12,3,8
Male,64,Widowed,3,No formal education,No,No,2,45,Yes,Commercial,Yes,Conventional (Yam),No,No,,6500,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,,,2,7,1,8,12,6,3,9,4,10,11,5
Male,30,Married,3,Tertiary,Yes,No,3,4,Yes,Commercial,Yes,Smartphone,Yes,Yes,1,6000,Yes,1 2 3 4 5,1,1,1,1,1,0,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,1,5,2,6,10,9,4,7,11,12,3,8
Female,37,Married,4,SHS,Yes,No,2,5,Yes,Commercial,Yes,Smartphone,Yes,No,,7500,Yes,1 2 3 4 5,1,1,1,1,1,0,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,2,7,1,8,12,6,3,9,4,10,11,5
Male,59,Married,8,Middle/JSS/JHS,Yes,Yes,3,22,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,5000,Yes,1 2 3 4,1,1,1,1,0,0,,,yes,yes,no,no,no,no,yes,yes,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,,1,3,6,5,2,8,9,7,11,10,12,4
Male,54,Married,7,Primary,Yes,Yes,2,10,Yes,Commercial,Yes,Smartphone,Yes,No,,3500,Yes,1 2 3 4,1,1,1,1,0,0,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,,,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,,1,5,2,6,10,9,4,7,11,12,3,8
Male,56,Married,5,No formal education,No,Yes,4,10,Yes,Commercial,Yes,Conventional (Yam),No,No,,62600,No,,,,,,,,,,yes,no,no,no,no,no,yes,yes,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,,,2,12,5,11,10,4,6,3,9,7,8,1
Female,60,Married,6,No formal education,No,No,4,16,Yes,Commercial,Yes,Conventional (Yam),Yes,No,,9000,No,,,,,,,,,,yes,no,no,no,no,no,yes,no,no,yes,no,No,,,,No,,No,No,Yes,No,No,,No,No,No,Yes,Yes,No,No,,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,,1,11,2,7,12,3,8,6,9,10,5,4
Male,64,Married,7,No formal education,Yes,No,1,20,Yes,Commercial,Yes,Smartphone,Yes,No,,4000,No,,,,,,,,,,yes,no,no,no,no,no,yes,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,10,12,5,7,8,6,11,1,9,4,3,2
Male,56,Married,9,Middle/JSS/JHS,Yes,Yes,2,6,Yes,Commercial,Yes,Conventional (Yam),No,No,,15000,No,,,,,,,,,,yes,no,no,no,no,yes,no,no,no,yes,no,No,,,,No,,No,No,Yes,No,No,,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,,,5,7,3,9,6,8,10,2,1,11,12,4
Male,47,Single,2,No formal education,Yes,No,1,5,No,Commercial,Yes,Smartphone,Yes,No,,6000,Yes,Other,0,0,0,0,0,1,Internet,,yes,no,no,yes,no,no,yes,no,no,yes,no,Yes,Weather,3,,Yes,Yes,,Yes,Yes,No,No,,No,No,Yes,Yes,Yes,Yes,No,,No,,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,,,5,4,2,6,1,3,7,8,9,12,11,10
Male,54,Married,9,Primary,Yes,No,1,3,No,Commercial,Yes,Smartphone,Yes,No,,5000,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,No,No,,No,,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,2,3,4,1,5,6,8,7,9,10,11,12
Female,23,Single,1,SHS,Yes,No,2,2,No,Commercial,Yes,Smartphone,Yes,No,,9600,Yes,2 6,0,1,0,0,0,1,Internet,,yes,no,no,no,no,no,yes,no,no,yes,no,Yes,Weather  digital finance services/platforms,2,,Yes,Yes,,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,7,11,12,10,2,9,8,6,1,5,4,3
Male,37,Married,5,SHS,Yes,No,4,9,Yes,Commercial,Yes,Smartphone,Yes,No,,15000,Yes,1 2 4,1,1,0,1,0,0,,,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,,,9,10,8,12,3,4,11,1,5,6,2,7
Female,38,Single,3,Primary,No,No,4,15,Yes,Commercial,Yes,Conventional (Yam),No,No,,6500,No,,,,,,,,,,no,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,,10,11,1,12,9,2,8,4,5,7,6,3
Female,46,Married,4,No formal education,No,Yes,2,8,Yes,Commercial,Yes,Conventional (Yam),No,No,,8000,Yes,1 4,1,0,0,1,0,0,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,Yes,No,No,,No,No,Yes,Yes,Yes,No,No,,No,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,,,1,11,2,10,9,12,8,3,7,6,5,4
Female,40,Single,4,Primary,Yes,No,1,9,No,Commercial,Yes,Conventional (Yam),No,No,,5500,Yes,2 4,0,1,0,1,0,0,,,yes,no,no,no,no,no,yes,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,,,3,12,1,11,10,2,9,8,7,6,5,4
Female,55,Widowed,4,No formal education,No,No,2,8,No,Commercial,Yes,Conventional (Yam),No,No,,6800,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,No,,,,Yes,Yes,,No,Yes,Yes,No,,Yes,No,No,Yes,Yes,No,No,,No,,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,,,12,11,9,8,7,6,4,3,5,10,2,1
Female,67,Married,8,Middle/JSS/JHS,Yes,Yes,6,30,No,Commercial,No,Conventional (Yam),No,Yes,1,10000,No,,,,,,,,,,yes,no,no,yes,no,yes,yes,yes,no,yes,no,No,,,,No,,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,1,3,2,9,10,8,12,4,7,11,6,5
Female,71,Widowed,9,No formal education,No,Yes,2,40,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,9000,No,,,,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,No,,No,No,Yes,Yes,No,,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,7,8,6,5,9,4,12,3,10,11,2,1
Male,39,Single,2,Primary,Yes,No,1,19,No,Commercial,Yes,Smartphone,Yes,No,,5000,No,,,,,,,,,,yes,no,no,yes,no,yes,yes,no,no,yes,no,No,,,,No,,No,No,No,Yes,No,,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,No,No,Yes,No,No,,No,No,Yes,No,No,No,No,Yes,Yes,,,2,1,8,7,6,5,3,4,10,9,11,12
Male,26,Single,1,SHS,Yes,No,1,4,No,Commercial,Yes,Smartphone,Yes,No,,4500,Yes,Other,0,0,0,0,0,1,Internet,,yes,no,no,no,yes,yes,yes,no,no,yes,no,No,,,,Yes,Yes,,Yes,No,Yes,No,,Yes,No,No,No,No,No,No,,No,,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,,12,1,8,11,6,3,4,5,2,7,9,10
Male,30,Married,5,Middle/JSS/JHS,Yes,No,2,10,No,Commercial,Yes,Conventional (Yam),No,No,,6000,No,,,,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,,,5,6,7,12,11,10,9,1,2,8,3,4
Female,40,Divorced,3,Middle/JSS/JHS,Yes,Yes,2,9,No,Commercial,Yes,Conventional (Yam),Yes,Yes,1,7000,Yes,1 2,1,1,0,0,0,0,,,yes,no,no,no,no,no,yes,no,no,yes,no,No,,,,Yes,Yes,,Yes,Yes,No,No,,No,Yes,No,Yes,No,Yes,No,,No,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,,,1,6,2,11,12,10,9,8,7,5,4,3
Male,28,Single,2,SHS,Yes,No,1,3,No,Commercial,Yes,Smartphone,Yes,No,,10000,Yes,Other,0,0,0,0,0,1,Internet,,yes,no,yes,no,no,no,yes,no,no,yes,no,Yes,Weather updates,3,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,No,,No,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,,,2,1,12,4,3,5,6,7,8,9,10,11
Male,30,Single,1,Tertiary,Yes,No,1,4,No,Commercial,Yes,Smartphone,Yes,Yes,1,4900,Yes,Fellow Farmer,0,0,0,1,0,0,,,yes,no,yes,yes,no,no,yes,no,no,yes,no,Yes,Weather updates,4,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,,,5,11,10,8,12,4,3,2,7,9,6,1
Female,31,Married,2,SHS,Yes,No,1,4,Yes,Commercial,Yes,Smartphone,Yes,Yes,1,7500,No,,,,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,No,,,,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,,3,4,5,12,11,2,6,1,7,8,10,9
Male,34,Single,1,No formal education,No,Yes,2,12,Yes,Commercial,Yes,Conventional (Yam),No,Yes,1,8000,No,,,,,,,,,,yes,no,no,no,no,no,yes,no,no,yes,no,No,,,,No,,No,No,Yes,Yes,No,,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,,,2,12,1,11,10,5,8,4,7,9,6,3
