,age_group,education,country,music,artist_name,featured_artists,avg_plays_per_user,song_age,user_favorite_genre,user_genre_diversity,user_genre_affinity,energy_acousticness_ratio
1085,Young Adult, Graduate , Non-Urban ,All Eyes On You (feat. Chris Brown & Nicki Minaj),Meek Mill,Joan Sebastian,1.0,9,Underground Rap,1,1.0,2.593868330903635
1086,Elderly, Graduate , Non-Urban ,Sunny Days,Armin van Buuren,"KAROL G, Alina Baraz, Labrinth, The Smiths, Romeo Santos",740.0,24, Folk/Acoustic,1,740.0,15.216888662376428
1087,Elderly, Undergraduate , Non-Urban ,Free Fallin' - Live at the Nokia Theatre,John Mayer,"Calle 13, Why Don't We, Ruth B., Bazzi",349.0,16, Folk/Acoustic,2,697.0,0.38391699042293514
1088,Elderly, Undergraduate , Urban ,Hotel Room Service,Pitbull,"George Strait, iann dior",1.0,15, Christian/Gospel,1,1.0,2.9372879475980413
1089,Elderly, High School , Urban ,Everybody Wants To Rule The World,Tears For Fears,"LIT killah, Russ, LUDMILLA",885.0,24, Christian/Gospel,1,885.0,1.832185061283305
1090,Young Adult, Middle School , Non-Urban ,"Secret Love Song, Pt. II",Little Mix,"Martin Garrix, Little Mix, Zendaya",1.0,24,Rock,1,1.0,2.2934254606684723
1091,Young Adult, Graduate , Non-Urban ,Staple It Together,Jack Johnson,"Salmo, Carrie Underwood",610.3333333333334,19, Classical,2,1830.0,2.4588233925741365
1092,Young Adult, Graduate , Non-Urban ,Handsome And Wealthy,Migos,Wu-Tang Clan,610.3333333333334,10, Classical,2,1.0,0.6947504451814823
1093,Young Adult, Graduate , Non-Urban ,Bored To Death,blink-182,"Future, Olivia Rodrigo, Christina Perri, Julieta Venegas",610.3333333333334,24, Classical,2,1830.0,2.7723241822708835
1094,Teen, High School , Non-Urban ,Take A Bow - Main,Rihanna,Ellie Goulding,810.0,17, Dance/Electronic,1,810.0,0.7861709926891705
1095,Teen, Undergraduate , Urban ,Introducing Me,Nick Jonas,"Pop Smoke, ILLENIUM, Gryffin, Thomas Rhett, Upchurch",896.0,14,Dance/Electronic,1,896.0,0.10587249105468334
1096,Adult, Middle School , Urban ,Buy U a Drank (Shawty Snappin'),T-Pain,"Juice WRLD, Rascal Flatts, System Of A Down",398.0,24,RnB,1,398.0,0.9908468377959914
1097,Senior, High School , Non-Urban ,Alone,Marshmello,"LIT killah, Pusha T",420.5,24, Country,2,686.0,0.8721204903799288
1098,Senior, High School , Non-Urban ,Rock Bottom,Eminem,"Wham!, Dilsinho, Gavin James, Van Morrison, Ninho",420.5,24, Country,2,155.0,1.2643501656586915
1099,Elderly, Graduate , Non-Urban ,Taylor,Jack Johnson,Bill Withers,115.0,24, Country,3,219.0,0.4436230112661922
1100,Elderly, Graduate , Non-Urban ,No Strings,Kid Ink,"Ghostemane, Oh Wonder, Bryson Tiller",115.0,24, Country,3,125.0,0.5971970952771053
1101,Elderly, Graduate , Non-Urban ,Know Me,Marshmello,"Kendrick Lamar, Pixies, Rammstein, Bruce Springsteen, Juan Gabriel",115.0,24, Country,3,1.0,4.683715260565801
1102,Teen, Undergraduate , Urban ,Scholarships,Drake,"Seeb, Weezer, Lady A",371.75,9, Classical,4,581.0,0.6049190206991641
1103,Young Adult, Undergraduate , Urban ,Me,The 1975,"Young Thug, Imanbek, Gunna, Tim McGraw",1.0,24, Pop,1,2.0,2.3301227433642695
1104,Young Adult, Undergraduate , Urban ,Prayer Of The Refugee,Rise Against,"Young the Giant, Christina Aguilera, Wolfgang Amadeus Mozart",1.0,24, Pop,1,2.0,2.5007003094113984
1105,Senior, High School , Urban ,Chocolate,The 1975,"Korn, Christina Perri, T-Pain, Mumford & Sons, Snakehips",1.0,11, Jazz,1,1.0,1763.1545805365024
1106,Senior, Undergraduate , Non-Urban ,Better Man - Remastered,Pearl Jam,"Foster The People, T-Pain, Hungria Hip Hop, Becky Hill, Alice In Chains",1037.0,30, Classical,2,1040.0,4.066666642020202
1107,Senior, Undergraduate , Non-Urban ,American Teen,Khalid,"Galantis, Daryl Hall & John Oates, alt-J, Madonna, MKTO",1037.0,7, Classical,2,1034.0,1.6369868697041086
1108,Elderly, Undergraduate , Non-Urban ,With That (feat. Duke),Young Thug,girl in red,894.5,24, Christian/Gospel,2,1383.0,1.3245139646794684
1109,Elderly, Undergraduate , Non-Urban ,Bad At Love,Halsey,"The Kid LAROI, Miguel, Natiruts, The Neighbourhood",894.5,7, Christian/Gospel,2,406.0,12.43377462857989
1110,Young Adult, Graduate , Urban ,Oz.,Machine Gun Kelly,"Timbaland, Backstreet Boys, (G)I-DLE, Nat King Cole, Audioslave",22.25,24,Underground Rap,3,87.0,0.8493219875759838
1111,Young Adult, Graduate , Urban ,You Don't Know Me - Radio Edit,Jax Jones,"Portugal. The Man, Gavin James, CRO",22.25,24,Underground Rap,3,1.0,0.12269958470195527
1112,Young Adult, Graduate , Urban ,I Will Not Bow,Breaking Benjamin,"Charlie Brown Jr., Led Zeppelin, GIMS, Bastille",22.25,15,Underground Rap,3,1.0,0.9576293174893374
1113,Young Adult, Graduate , Urban ,Too Many Years,Kodak Black,"Mc Don Juan, Kodaline",22.25,24,Underground Rap,3,87.0,6.882220832282961
1114,Elderly, High School , Non-Urban ,Ungodly Hour,The Fray,"The Black Keys, Dr. Dre, Kehlani",1.0,24, Classical,1,1.0,0.568464729111069
1115,Adult, Undergraduate , Non-Urban ,KMT,Drake,Swae Lee,654.0,7,Rap,1,654.0,2.6042256664945227
1116,Teen, Graduate , Urban ,pick up the phone,Young Thug,"NLE Choppa, Nas, Passenger, Río Roma",114.66666666666667,8,Dance/Electronic,3,1.0,0.8993730110791798
1117,Teen, Graduate , Urban ,All In My Head (Flex),Fifth Harmony,"Michael Jackson, Trippie Redd, Rels B",114.66666666666667,8,Dance/Electronic,3,342.0,0.006611064574687405
1118,Teen, Graduate , Urban ,Hair,Little Mix,"Kendrick Lamar, Luísa Sonza",114.66666666666667,24,Dance/Electronic,3,1.0,0.009769976531643472
1119,Senior, Middle School , Urban ,Quítame La Ropa,Gloria Trevi,Nicky Jam,377.0,24,Hip-Hop,1,377.0,2.1788168321380232
1120,Senior, Graduate , Urban ,I'm Yours,Jason Mraz,"Shakira, Kendrick Lamar, Bill Withers",1.0,16, Classical,2,1.0,0.7942754905290241
1121,Senior, Graduate , Urban ,Dreams,Beck,"KSI, Wiz Khalifa, Diego & Victor Hugo",1.0,24, Classical,2,1.0,0.7131000336170709
1122,Senior, Undergraduate , Non-Urban ,Timber,Pitbull,"*NSYNC, Lionel Richie, girl in red, LANY",1.0,12, Classical,3,1.0,1.1505205524621507
1123,Elderly, Undergraduate , Non-Urban ,Lollipop,Lil Wayne,"Nas, Frank Ocean, Jeremih, Showtek",50.0,16, Blues,2,1.0,0.021654087849471135
1124,Elderly, Undergraduate , Non-Urban ,Drink In My Hand,Eric Church,Cheat Codes,50.0,13, Blues,2,99.0,1.2718273892715695
1125,Elderly, Middle School , Urban ,Ignition - Remix,R. Kelly,"Ella Henderson, AJ Tracey, Steve Lacy, Migos",266.25,21, Dance/Electronic,4,471.0,0.656513086172562
1126,Elderly, Middle School , Urban ,Country Must Be Country Wide,Brantley Gilbert,"Luke Combs, Dean Martin",266.25,24, Dance/Electronic,4,1.0,0.82718590788551
1127,Teen, Undergraduate , Non-Urban ,Emotions,Mariah Carey,"Morat, Florence + The Machine, Capo Plaza, Danny Ocean",1258.0,33,Hip-Hop,1,1258.0,0.4239529351398197
1128,Elderly, Middle School , Non-Urban ,Straightjacket,Quinn XCII,"Olivia Rodrigo, Trueno, Otis Redding, All Time Low, Kelly Clarkson",576.0,7,Classical,1,576.0,0.3788732422477527
1129,Teen, Undergraduate , Urban ,Machu Picchu,The Strokes,"BØRNS, XXXTENTACION, Skepta",491.5,13,Jazz,1,983.0,61.893934705004945
1130,Teen, Undergraduate , Urban ,ILYSB,LANY,"All Time Low, Slipknot, Rascal Flatts",491.5,24,Jazz,1,983.0,1.9026201794669966
1131,Teen, Undergraduate , Urban ,Silence,Marshmello,"Jack & Jack, Grupo Firme",288.5,7,Emo,2,370.0,2.972656238388061
1132,Teen, Undergraduate , Urban ,Had Enough,Breaking Benjamin,"Reik, Megadeth",288.5,24,Emo,2,207.0,3.521389577867684
1133,Senior, High School , Urban ,Footprints,Tiësto,"Pabllo Vittar, Trueno, Avicii, Tame Impala, Cage The Elephant",1.0,24, Soul,1,1.0,2.4585825499306897
1134,Senior, High School , Non-Urban ,Maggie May - Edit Version,Rod Stewart,"Tom Petty and the Heartbreakers, Polo G, Dynoro",518.0,24, Country,1,518.0,0.878684081723853
1135,Young Adult, Middle School , Non-Urban ,All-American Girl,Carrie Underwood,"Lewis Capaldi, Steve Aoki, Thalia",1.0,17,Classical,1,1.0,0.7226390007730504
1136,Teen, Undergraduate , Non-Urban ,Heroes (we could be),Alesso,"Maggie Lindemann, French Montana, Jon Pardi, Matheus & Kauan",241.66666666666666,24, Blues,3,1.0,1.7916792484713966
1137,Senior, Graduate , Non-Urban ,Rewind (feat. Monty),Fetty Wap,"Snow Patrol, Nat King Cole",1.0,24, Folk/Acoustic,1,1.0,1.1419571227075784
1138,Adult, High School , Non-Urban ,How Did You Love - Acoustic,Shinedown,"Olly Murs, Kenny Chesney, Farruko, Demi Lovato, Lynyrd Skynyrd",306.0,24, Hip-Hop,1,306.0,0.8970881710822
1139,Senior, Graduate , Urban ,Hero Of War,Rise Against,"OMI, Jhené Aiko",374.3333333333333,16, Blues,3,1.0,243.26070654657357
1140,Senior, Graduate , Urban ,Look At Me Now,Chris Brown,"Bon Iver, Rascal Flatts, Kid Ink, Oh Wonder",374.3333333333333,24, Blues,3,257.0,0.11222573632457383
1141,Senior, Graduate , Urban ,The Jam,Logic,"Marracash, The Strokes, The xx, The Clash, Fetty Wap",374.3333333333333,24, Blues,3,865.0,1.2893201440338558
1142,Elderly, High School , Urban ,September,"Earth, Wind & Fire","Ms. Lauryn Hill, Mike Perry, Bebe Rexha",1.0,24, Jazz,1,1.0,0.28754743978881814
1143,Adult, High School , Urban ,3005 - Friction Remix,Childish Gambino,"DJ Snake, Melendi",92.0,24, Classical,3,274.0,3.280281191125237
1144,Adult, High School , Urban ,D Rose,Lil Pump,Dierks Bentley,92.0,24, Classical,3,1.0,2.7512437674067476
1145,Elderly, Undergraduate , Non-Urban ,Big Rings,Drake,"Junior H, Young the Giant, Thalia, Ben Howard, Quavo",1.0,9, Folk/Acoustic,1,2.0,0.9969276887594325
1146,Elderly, Undergraduate , Non-Urban ,Reinventing The Wheel To Run Myself Over,Fall Out Boy,"Sebastian Yatra, Rich Brian, Sido, Pop Smoke",1.0,24, Folk/Acoustic,1,2.0,1.3440221030528643
1147,Adult, Graduate , Urban ,Simple & Sweet,Jon Bellion,"Miranda Lambert, MGMT",181.0,24, Folk/Acoustic,1,181.0,0.3850425586611152
1148,Adult, Graduate , Non-Urban ,Diabla - Official Remix,Farruko,Major Lazer,97.33333333333333,24, R&B,3,115.0,0.9688931682991738
1149,Elderly, Middle School , Urban ,Triste Imaginar,Los Bukis,"Paulo Londra, GIMS, Bon Iver",599.0,24,Classical,1,599.0,0.6043331898872022
1150,Teen, Undergraduate , Non-Urban ,Have Yourself A Merry Little Christmas,Michael Bublé,"Why Don't We, 24kGoldn, PNL, Wisin & Yandel, NEFFEX",390.5,24,Classical,2,771.0,0.22479436464530383
1151,Teen, Undergraduate , Non-Urban ,Panama - 2015 Remastered Version,Van Halen,"Nio Garcia, Ghostemane, Whitney Houston",390.5,40,Classical,2,10.0,801.6386871814041
1152,Adult, Undergraduate , Urban ,All That Matters,Justin Bieber,"Why Don't We, Brad Paisley, Bruno & Marrone, X Ambassadors",1.0,10, Jazz,1,1.0,1.0005341786163502
1153,Adult, High School , Urban ,Cry Baby,Melanie Martinez,"bbno$, Ellie Goulding, Trippie Redd, Ryan Lewis, Alvaro Soler",1192.0,9, Pop,1,1192.0,1.407587999957616
1154,Senior, Middle School , Non-Urban ,Sure Thing,Miguel,"Bryant Myers, The Cranberries, Wisin & Yandel, Michael Bublé, Ozuna",1.0,14,RnB,2,2.0,0.5548718009756747
1155,Senior, Middle School , Non-Urban ,Redbone,Childish Gambino,"Joan Sebastian, Armin van Buuren, Angus & Julia Stone, P!nk",1.0,24,RnB,2,1.0,4.102251398301857
1156,Senior, Middle School , Non-Urban ,It Girl,Jason Derulo,"Intocable, Duke Dumont, Lupe Fiasco",1.0,13,RnB,2,2.0,0.8367187220633221
1157,Young Adult, Graduate , Non-Urban ,"Honey, I'm Good.",Andy Grammer,"Creedence Clearwater Revival, Supertramp, Nicky Jam",59.5,10, Dance/Electronic,2,118.0,0.16705919844118283
1158,Young Adult, Graduate , Non-Urban ,Party In The U.S.A.,Miley Cyrus,"(G)I-DLE, Tove Lo",59.5,15, Dance/Electronic,2,1.0,18.095006433465908
1159,Adult, Undergraduate , Non-Urban ,In the Summertime - feat. Rayvon,Shaggy,"Major Lazer, Elevation Worship, Jon Pardi, Brad Paisley, MGMT",669.5,29, Blues,1,1339.0,2814.9206626903147
1160,Adult, Undergraduate , Non-Urban ,Traidora,Gente De Zona,"Daddy Yankee, Jaden, Denzel Curry, Tame Impala",669.5,8, Blues,1,1339.0,1.1595570680715424
1161,Senior, Middle School , Urban ,U Don't Have to Call,Usher,"Big Sean, Don Diablo, BONES",348.0,23,RnB,1,348.0,0.1555857634345711
1162,Senior, Graduate , Urban ,Lean On (feat. MØ & DJ Snake),Major Lazer,"Paramore, Santana, Christina Perri",1.0,24, Folk/Acoustic,1,1.0,1.1427045585961983
1163,Adult, Undergraduate , Urban ,Eres Mía,Romeo Santos,Dynoro,1.0,10, Folk/Acoustic,2,1.0,1.1571123371547565
1164,Adult, Undergraduate , Urban ,You & Me - Flume Remix,Disclosure,"Aloe Blacc, Casper Magico, Tove Lo, The Score",1.0,11, Folk/Acoustic,2,1.0,0.6236092052575656
1165,Teen, Middle School , Non-Urban ,Happier,Ed Sheeran,"Banda El Recodo, Flume, Lil Tecca, Mike Perry, Metallica",518.5,7, Dance/Electronic,2,1036.0,0.18090427032159373
1166,Teen, Middle School , Non-Urban ,No Option,Post Malone,"Oliver Tree, Internet Money, Queens of the Stone Age",518.5,8, Dance/Electronic,2,1.0,0.6128879690421634
1167,Teen, Graduate , Urban ,Bag On Me,A Boogie Wit da Hoodie,CNCO,498.0,24,Classical,2,229.0,0.33067787286221434
1168,Teen, Graduate , Urban ,Immortals,Fall Out Boy,"Becky Hill, Ariana Grande, ODESZA",498.0,24,Classical,2,767.0,1.07150261375417
1169,Teen, High School , Urban ,Say You'll Be There,MØ,"Eminem, Sido",271.0,24, Soul,2,541.0,0.1607675615003223
1170,Senior, Graduate , Urban ,Au Revoir,OneRepublic,"TLC, Jhené Aiko",364.0,24, Easy Listening,1,364.0,0.42541483682595316
1171,Teen, High School , Non-Urban ,Where The Hood At,DMX,"James Arthur, will.i.am, El Alfa, French Montana, Manuel Turizo",145.0,21,RnB,1,145.0,6.2781456537871145
1172,Adult, Graduate , Urban ,Everyday,A$AP Rocky,"Scorpions, Lukas Graham, Trippie Redd",95.5,9, Classical,2,190.0,1.89731181603984
1173,Adult, Graduate , Urban ,Poker Face,Lady Gaga,AURORA,95.5,16, Classical,2,1.0,0.6166374369799529
1174,Teen, Undergraduate , Non-Urban ,Rack City,Tyga,"YUNGBLUD, Noah Cyrus",1.0,12,Dance/Electronic,2,1.0,1.88490040188647
1175,Teen, Undergraduate , Non-Urban ,Down Another Day,Limp Bizkit,"Eric Church, Alicia Keys, Train",1.0,24,Dance/Electronic,2,1.0,4.028109861277979
1176,Teen, Graduate , Urban ,Body,Sean Paul,"Apache 207, Rex Orange County, Bon Iver, System Of A Down, KYLE",588.0,24, Jazz,2,1.0,0.7584457703836138
1177,Senior, Middle School , Non-Urban ,Stayin' Alive,Bee Gees,"Sade, Future, Tears For Fears, Jasmine Thompson, Jacquees",456.0,24,Hip-Hop,1,456.0,3.0799420448993264
1178,Adult, Middle School , Non-Urban ,La Formula (feat. Chris Jeday),De La Ghetto,"Foreigner, GIMS, Becky Hill, Chencho Corleone",755.5,7,Classical,2,924.0,2.994690357752655
1179,Adult, Middle School , Non-Urban ,Ignition - Remix,R. Kelly,The Rolling Stones,755.5,21,Classical,2,587.0,0.12350712965914336
1180,Adult, High School , Urban ,Born This Way - Zedd Remix,Lady Gaga,"ODESZA, A Boogie Wit da Hoodie, Phil Collins, DJ Khaled, Simple Plan",476.5,24, Dance/Electronic,2,952.0,21.354463729832915
1181,Adult, High School , Urban ,Feels Like Summer,Weezer,Passenger,476.5,24, Dance/Electronic,2,1.0,43.34999783250011
1182,Senior, Middle School , Non-Urban ,Alone,Marshmello,"Granular, George Strait",97.33333333333333,24, R&B,3,1.0,0.9620640037449198
1183,Senior, Middle School , Non-Urban ,Bad Ass,Kid Ink,"Lionel Richie, Oliver Heldens, The Police",97.33333333333333,24, R&B,3,176.0,1.185291973114435
1184,Teen, Undergraduate , Urban ,Havana,Camila Cabello,Chayanne,215.5,24,Classical,2,339.0,1.543908406255668
1185,Teen, Undergraduate , Urban ,Nirvana,Sam Smith,"Steve Lacy, TOMORROW X TOGETHER, Tom Odell, Jack Johnson",215.5,24,Classical,2,92.0,2.3239450448015595
1186,Senior, Graduate , Non-Urban ,Boogie Feet,Kesha,"Cigarettes After Sex, 5 Seconds of Summer, Zé Neto & Cristiano",1.0,24, Classical,1,1.0,2.9583893786022877
1187,Adult, Graduate , Non-Urban ,What's The 411?,Mary J. Blige,"Kylie Minogue, Os Barões Da Pisadinha, Dean Martin, Dennis Lloyd, Upchurch",568.0,32, Country,1,568.0,0.9551854899812464
1188,Teen, Undergraduate , Non-Urban ,Stitches,Shawn Mendes,"The Kid LAROI, Labrinth",443.0,24,Rock,1,443.0,0.6917667167706419
1189,Young Adult, Graduate , Non-Urban ,Country Girl (Shake It For Me),Luke Bryan,"A Boogie Wit da Hoodie, Natalia Lafourcade, Mac Miller, Stefflon Don, Jacquees",556.0,13, Country,1,556.0,10.205465994167477
1190,Senior, High School , Non-Urban ,Say My Name,Destiny's Child,The Rolling Stones,111.33333333333333,25, Hip-Hop,2,1.0,1.2741371007149482
1191,Adult, Middle School , Urban ,Little Talks,Of Monsters and Men,"Aminé, Trevor Daniel, Dilsinho",247.5,12,Classical,2,1.0,36.74757103167131
1192,Adult, Middle School , Urban ,Neighbors,J. Cole,"Arctic Monkeys, Rich Brian, UB40, Gunna, Gente De Zona",247.5,8,Classical,2,494.0,0.3127662153161937
1193,Young Adult, Middle School , Non-Urban ,Wrapped Up,Olly Murs,Rudimental,1.0,24,Dance/Electronic,1,1.0,0.685517277951701
1194,Teen, High School , Non-Urban ,Take Me Away (feat. Syd),Daniel Caesar,Dean Lewis,1370.0,24, Dance/Electronic,1,1370.0,5.95002227984156
1195,Senior, Undergraduate , Urban ,Better in Time,Leona Lewis,bbno$,691.0,17, Classical,2,687.0,1.3671874973297118
1196,Teen, Middle School , Non-Urban ,Cake,Melanie Martinez,"Capo Plaza, Boyce Avenue, Cheat Codes, Nina Simone, Lunay",372.5,9,Dance/Electronic,2,280.0,1.7191601004746453
1197,Teen, Middle School , Urban ,Colors,Halsey,"MGMT, Armin van Buuren, ABBA, blackbear",151.5,24,Hip-Hop,2,226.0,1.327792271023739
1198,Teen, Middle School , Urban ,Pipe It Up,Migos,"Flume, Lily Allen, Old Dominion, Thiaguinho, Beach House",151.5,24,Hip-Hop,2,77.0,13.959033855213749
1199,Adult, Undergraduate , Non-Urban ,Headlights (feat. Ilsey),Robin Schulz,"Papa Roach, The White Stripes, Earth, Wind & Fire",335.0,9, Pop,1,335.0,27.959182532278266
1200,Senior, Middle School , Urban ,Pop That,French Montana,"Aleman, a-ha, Skrillex, Shaggy, Saweetie",173.66666666666666,11,Hip-Hop,3,519.0,13.463529859474303
1201,Senior, Middle School , Urban ,I Serve the Base,Future,"Rammstein, Lil Uzi Vert",173.66666666666666,24,Hip-Hop,3,1.0,18.735594195732176
1202,Elderly, High School , Non-Urban ,Sugar,Maroon 5,Paramore,1089.0,9, Folk/Acoustic,2,1253.0,0.8787959907926929
1203,Young Adult, Graduate , Urban ,Same Girl,R. Kelly,"Bruno & Marrone, Zion & Lennox, The Beatles, Canserbero",1.0,17,RnB,1,1.0,1.4394230175668303
1204,Adult, High School , Non-Urban ,Hit'em Up,Tyga,Gente De Zona,1.0,24, Country,1,1.0,0.5366203688330288
1205,Adult, Graduate , Non-Urban ,Jungle,Drake,Kelly Rowland,153.5,9, Blues,2,20.0,0.2825400716691752
1206,Adult, Graduate , Non-Urban ,Piece of Me,Britney Spears,"Don Toliver, Fall Out Boy, Rage Against The Machine, Incubus",153.5,17, Blues,2,287.0,0.7386269090766253
1207,Teen, High School , Urban ,Closer,The Chainsmokers,"YUNGBLUD, Avicii, Lionel Richie, Daya",131.0,8,Pop,1,131.0,1.26570048003454
1208,Teen, High School , Urban ,Belief - Live at the Nokia Theatre,John Mayer,"Thirty Seconds To Mars, Christina Perri, Florida Georgia Line, Maná",337.0,24, Dance/Electronic,2,673.0,0.09174413743131382
1209,Teen, High School , Urban ,Ride Slow,Russ,"Avicii, Kontra K, Pink Floyd, Nickelback",337.0,7, Dance/Electronic,2,1.0,0.9839341839100476
1210,Teen, High School , Non-Urban ,Until You Were Gone,The Chainsmokers,deadmau5,43.5,24, Metal,2,1.0,0.018035502804840023
1211,Teen, High School , Non-Urban ,Stone Cold,Demi Lovato,"Arijit Singh, Mau y Ricky, Beck, Lil Yachty",43.5,9, Metal,2,86.0,0.6135084921955443
1212,Senior, Middle School , Non-Urban ,Come Over,Kenny Chesney,Jay Chou,286.75,12,Rock,3,2.0,0.32166973705664614
1213,Senior, Middle School , Non-Urban ,People Are Strange,The Doors,"Pitbull, The National, The Cure, Zedd",286.75,57,Rock,3,2.0,0.6817518238222601
1214,Young Adult, Middle School , Non-Urban ,Faded,Tyga,Brantley Gilbert,502.3333333333333,12,Jazz,3,432.0,0.4632449338005549
1215,Young Adult, Middle School , Non-Urban ,Latch,Disclosure,"The Offspring, Bill Withers",502.3333333333333,24,Jazz,3,648.0,2.0951425226138416
1216,Young Adult, Middle School , Non-Urban ,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,"Brent Faiyaz, Paramore",502.3333333333333,12,Jazz,3,427.0,0.6427845480733982
1217,Teen, Undergraduate , Urban ,You Found Me,The Fray,"Maluma, Lost Frequencies, NAV, Chris Young",1272.0,15,Emo,1,1272.0,42.94117417426876
1218,Teen, Middle School , Non-Urban ,Slow Dancing in a Burning Room,John Mayer,"Incubus, Romeo Santos",1.0,18,Classical,1,1.0,0.6278260858646504
1219,Teen, Middle School , Urban ,Super Bass,Nicki Minaj,"Electric Light Orchestra, Sean Kingston, A$AP Ferg",1.0,24, Metal,1,1.0,9.82316522492742
1220,Teen, High School , Non-Urban ,"Two Birds, One Stone",Drake,"JAY-Z, Michael Jackson",194.66666666666666,24, Dance/Electronic,3,1.0,1.4366728714455086
1221,Teen, High School , Non-Urban ,Mele Kalikimaka,Bing Crosby,"PnB Rock, The Kooks",194.66666666666666,24, Dance/Electronic,3,368.0,263.27239727489183
1222,Teen, High School , Non-Urban ,Haven't Met You Yet,Michael Bublé,"ScHoolboy Q, Wale, Dynoro, 6ix9ine",194.66666666666666,15, Dance/Electronic,3,215.0,4.822368389326524
1223,Adult, Middle School , Urban ,Smells Like Teen Spirit,Nirvana,"The Neighbourhood, Bill Withers",498.0,33,Emo,1,498.0,6.0471782504927285
1224,Teen, Undergraduate , Non-Urban ,There Goes,Alan Jackson,"Bill Withers, Arizona Zervas, Bad Bunny",567.5,35,Classical,2,1.0,1.9745373959793042
1225,Teen, Undergraduate , Non-Urban ,Houdini,Foster The People,"Glee Cast, OneRepublic",567.5,13,Classical,2,1134.0,0.6283530176101993
1226,Senior, Middle School , Urban ,Sabotage,Beastie Boys,George Strait,375.5,30,Hiphop,2,568.0,4.278821733769173
1227,Senior, Middle School , Urban ,Really? Yeah!,KYLE,"The Score, The Doors",375.5,24,Hiphop,2,183.0,218.3115584562751
1228,Adult, Middle School , Non-Urban ,Rich $ex,Future,"Calle 13, Plan B",1.0,24,Classical,2,1.0,2.076476209389529
1229,Adult, Middle School , Non-Urban ,Wild Things,Alessia Cara,Nickelback,1.0,9,Classical,2,1.0,0.6398518037305411
1230,Elderly, Undergraduate , Urban ,The Levitation/Threepio's Bedtime Story - Medley,John Williams,"ROSALÍA, Lil Nas X",235.0,24, Classical,1,235.0,1.325755912488726
1231,Young Adult, Graduate , Non-Urban ,Closer,The Chainsmokers,"Mc Don Juan, Frank Ocean, Little Mix",1111.0,8, Jazz,2,235.0,1.26570048003454
1232,Teen, Middle School , Non-Urban ,The Man Who Can't Be Moved,The Script,"Sean Kingston, Duki, The Who",1.0,24,Dance/Electronic,2,1.0,1.3861699043491853
1233,Teen, Middle School , Non-Urban ,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,"NEFFEX, Maren Morris, The Vamps, My Chemical Romance, Nina Simone",1.0,12,Dance/Electronic,2,1.0,0.7659507873562768
1234,Adult, Graduate , Non-Urban ,Cool Girl,Tove Lo,Die drei !!!,304.5,24, Country,2,147.0,3.3498393086608163
1235,Adult, Graduate , Non-Urban ,WOA,Migos,"Lil Wayne, Ha*Ash, Stormzy",304.5,24, Country,2,462.0,0.0053897905414668915
1236,Teen, Graduate , Non-Urban ,"I like it when you sleep, for you are so beautiful yet so unaware of it",The 1975,Laura Pausini,135.0,24,Classical,2,113.0,1.4587745925275972
1237,Teen, Graduate , Non-Urban ,Jungle,Drake,"Kollegah, George Strait, Die drei !!!, Calvin Harris, Westlife",135.0,9,Classical,2,157.0,1.9074029238643957
1238,Adult, Middle School , Non-Urban ,"Lift me up (feat. Nico & Vinz, Ladysmith Black Mambazo)",David Guetta,"Niall Horan, Charli XCX, Miranda Lambert, Train, Trevor Daniel",181.66666666666666,24,Jazz,2,86.0,10.870987034806195
1239,Adult, Middle School , Non-Urban ,If We Ever Meet Again (Featuring Katy Perry) - feat. ケイティ・ペリー,Timbaland,"Oliver Heldens, Juanes",181.66666666666666,24,Jazz,2,459.0,9.89769911119191
1240,Adult, Middle School , Non-Urban ,Drop The World,Lil Wayne,"$uicideboy$, Eric Church, John Newman, The Black Keys, BLACKPINK",181.66666666666666,15,Jazz,2,86.0,1.3438427814599276
1241,Young Adult, Graduate , Non-Urban ,Little Talks,Of Monsters and Men,"Wolfgang Amadeus Mozart, Jessie J",269.5,12, Country,2,538.0,36.74757103167131
1242,Young Adult, Graduate , Non-Urban ,Black Flies,Ben Howard,"Red Velvet, Jowell & Randy, UB40",269.5,24, Country,2,1.0,1.0730187057477807
1243,Senior, High School , Urban ,What Do You Mean?,Justin Bieber,"Danna Paola, Jimi Hendrix, BTS, Jax Jones, Capo Plaza",1.0,24, Easy Listening,1,1.0,0.44668232805649943
1244,Teen, High School , Non-Urban ,No Tellin',Drake,"Quavo, Banda MS de Sergio Lizárraga, Tame Impala, Los Enanitos Verdes",1.0,9,Rap,1,1.0,0.5112123133036275
1245,Teen, High School , Urban ,King Of Everything,Wiz Khalifa,Ninho,1.0,24, Dance/Electronic,2,1.0,0.4807870067461242
1246,Teen, High School , Urban ,Ain't No Mountain High Enough,Marvin Gaye,Melanie Martinez,1.0,24, Dance/Electronic,2,1.0,6.3531261595706034
1247,Elderly, Middle School , Urban ,Roll Up (feat. Marko Penn),B.o.B,Kevin Roldan,535.5,8,Hip-Hop,2,618.0,0.4610303994407858
1248,Elderly, Middle School , Urban ,California,Childish Gambino,"JAY-Z, Ludovico Einaudi",535.5,24,Hip-Hop,2,453.0,1.243221577001565
