Timestamp,Do you grant your consent to participate in this survey?,Gender,Age,Kindly select your university of study,Level,Religion,Location,Ethnicity,Study's financing,Medications intake due to studies,Is radiography your desired profession?,I feel emotionally drained by my studies.,I feel used up at the end of a day at school.,I feel like my courses are breaking me down.,I feel frustrated by my course activities.,I feel studying or attending a class is really a strain on me.,I have become less interested in my studies since my enrollment at the school.,I have become less enthusiastic about my studies.,I have become more cynical about the potential usefulness of my studies.,I doubt the significance of my studies.,I can effectively solve the problems that arise in my studies.,I believe that I make an effective contribution to the classes that I attend.,"In my opinion, I am a good student.",I have learned many interesting things during the course of my studies.,I feel stimulated when I achieve my study goals.,During class I feel confident that I am effective in getting things done.
2024/07/17 1:16:04 AM PDT,Yes,Female,21 - 23,UG,200,Cristian,Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 1:16:49 AM PDT,Yes,Female,21 - 23,UG,200,Cristian,Campus,Ga,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 1:17:34 AM PDT,Yes,Female,21 - 23,UG,200,Cristian,Campus,Akan,Scholarship,Sometimes,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 1:18:19 AM PDT,Yes,Female,21 - 23,UG,200,Cristian,Campus,Akan,Family,Never,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 1:19:06 AM PDT,Yes,Female,17 - 20,UG,200,Cristian,Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 1:19:50 AM PDT,Yes,Female,17 - 20,UG,200,Cristian,Campus,Akan,Family,Sometimes,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 1:20:32 AM PDT,Yes,Female,17 - 20,UG,200,Cristian,Campus,Others,Family,Never,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/17 1:21:25 AM PDT,Yes,Female,17 - 20,UG,200,Cristian,Campus,Akan,Scholarship,Sometimes,Yes,6,5,4,3,6,0,1,2,3,6,5,4,3,4,6
2024/07/17 1:23:13 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,0,1,2,3,6,5,4,3,2,1
2024/07/17 1:24:00 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 1:24:46 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Ewe,Family,Sometimes,No,3,5,5,6,6,3,2,1,0,6,5,4,3,6,6
2024/07/17 1:25:30 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Others,Family,Never,No,5,5,6,6,6,3,2,1,0,6,6,6,5,5,5
2024/07/17 1:26:23 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Akan,Family,Never,No,6,6,6,6,6,0,1,2,3,1,2,3,4,5,6
2024/07/17 1:27:12 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Ga,Family,Never,No,6,6,6,6,6,6,6,6,6,3,3,3,6,6,6
2024/07/17 1:28:06 AM PDT,Yes,Female,17 - 20,UG,200,Cristian,Campus,Ga,Family,Never,No,5,5,6,6,5,3,2,1,0,1,2,3,4,5,6
2024/07/17 1:29:00 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Akan,Family,Never,No,6,6,6,6,6,3,2,1,0,0,0,0,0,0,0
2024/07/17 1:29:44 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Akan,Family,Never,No,6,5,6,5,6,0,1,0,1,3,2,1,0,1,2
2024/07/17 1:30:47 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Ga,Family,Sometimes,No,6,6,6,6,6,2,1,0,3,6,5,4,3,6,5
2024/07/17 1:31:34 AM PDT,Yes,Female,21 - 23,UG,200,Cristian,Campus,Akan,Family,Sometimes,No,6,6,5,5,6,3,2,1,0,1,2,3,4,5,6
2024/07/17 1:32:24 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Akan,Family,Sometimes,No,6,5,4,5,6,3,2,1,0,6,6,6,6,6,6
2024/07/17 1:33:03 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Akan,Family,Never,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/17 1:34:17 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Ewe,Family,Never,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/17 1:35:37 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Akan,Family,Never,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 1:36:21 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Ga,Family,Frequently,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 1:37:10 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Ga,Family,Sometimes,No,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4
2024/07/17 1:38:01 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Others,Family,Never,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 1:38:46 AM PDT,Yes,Male,17 - 20,UG,200,Cristian,Campus,Others,Family,Sometimes,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 1:39:35 AM PDT,Yes,Male,21 - 23,UG,200,Cristian,Campus,Ewe,Family,Never,No,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 1:41:11 AM PDT,Yes,Male,21 - 23,UCC,400,Cristian,Off Campus,Others,Scholarship,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 3:53:48 AM PDT,Yes,Male,17 - 20,UCC,200,Cristian,Off Campus,Others,Family,Sometimes,No,6,6,6,6,6,3,3,1,0,2,3,4,5,6,6
2024/07/17 3:58:30 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,2,2,2,2,3,3,3,3,3,3
2024/07/17 3:59:35 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,2,2,2,2,5,5,5,5,5,5
2024/07/17 4:02:22 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Others,Family,Sometimes,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/17 4:03:03 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Campus,Others,Family,Sometimes,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/17 4:03:39 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 4:04:32 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Others,Family,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 4:10:03 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 4:10:51 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Others,Family,Frequently,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 4:11:43 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Others,Self,Frequently,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 4:12:36 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/17 4:13:21 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Family,Never,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/17 4:14:05 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/17 4:14:55 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 4:15:37 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Scholarship,Sometimes,Yes,6,6,6,6,6,0,0,0,0,3,3,3,3,3,3
2024/07/17 4:16:21 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Self,Sometimes,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/17 4:17:08 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Family,Sometimes,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/17 4:18:51 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 4:19:34 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Loan,Sometimes,Yes,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6
2024/07/17 4:20:28 AM PDT,Yes,Female,24 - 27,UDS,400,Muslim,Off Campus,Others,Loan,Sometimes,Yes,5,5,5,5,5,1,1,1,1,4,4,4,4,4,4
2024/07/17 4:21:40 AM PDT,Yes,Female,28 and above,UDS,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,5,6,5,6,0,1,0,1,6,5,6,4,3,3
2024/07/17 4:22:25 AM PDT,Yes,Female,28 and above,UDS,400,Cristian,Off Campus,Ga,Family,Never,Yes,6,5,4,3,6,0,1,2,3,6,5,4,3,2,1
2024/07/17 4:23:10 AM PDT,Yes,Female,28 and above,UDS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,1,2,3,4,6,3,2,1,0,1,2,3,4,5,6
2024/07/17 4:23:51 AM PDT,Yes,Female,28 and above,UDS,400,Cristian,Off Campus,Ewe,Self,Never,Yes,6,5,4,3,4,0,1,2,3,3,2,1,1,2,3
2024/07/17 4:24:38 AM PDT,Yes,Female,28 and above,UDS,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,5,6,5,6,0,1,2,3,6,5,6,5,6,5
2024/07/17 4:26:54 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Campus,Akan,Family,Never,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 4:27:32 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Campus,Akan,Family,Never,Yes,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4
2024/07/17 4:28:18 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Off Campus,Akan,Family,Never,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 4:28:59 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Campus,Akan,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 4:29:42 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Off Campus,Akan,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 4:30:19 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Off Campus,Akan,Family,Never,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 4:31:14 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Off Campus,Akan,Family,Never,Yes,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
2024/07/17 4:32:06 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Off Campus,Ga,Family,Never,Yes,6,5,4,3,6,1,1,1,0,1,2,3,6,5,4
2024/07/17 4:33:11 AM PDT,Yes,Female,21 - 23,UDS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,4,5,6,5,4,0,3,1,2,6,5,4,3,1,3
2024/07/17 4:34:03 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,3,4,5,6,6,3,2,1,0,1,2,3,6,5,4
2024/07/17 4:34:51 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,3,4,5,6,5,0,1,2,3,6,5,6,6,5,6
2024/07/17 4:35:56 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Campus,Ewe,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
2024/07/17 4:36:39 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,5,5,5,5,5,1,1,1,1,6,6,6,6,6,6
2024/07/17 4:37:31 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Others,Self,Frequently,Yes,6,6,6,6,6,0,0,0,0,5,5,5,5,5,5
2024/07/17 4:38:15 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Others,Family,Sometimes,Yes,4,4,4,4,4,2,2,2,2,3,3,3,3,3,3
2024/07/17 4:39:12 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Others,Scholarship,Sometimes,Yes,3,4,5,6,6,3,2,1,0,1,2,3,2,1,2
2024/07/17 4:39:55 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Campus,Akan,Family,Sometimes,Yes,3,4,5,6,6,0,1,2,3,3,2,3,4,5,6
2024/07/17 4:40:40 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,3,2,6,6,6,3,2,1,0,3,3,4,4,5,6
2024/07/17 4:41:47 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,5,6,6,6,6,5,5,5,5,4,5,6,5,6
2024/07/17 4:43:07 AM PDT,Yes,Male,28 and above,UDS,400,Cristian,Campus,Akan,Scholarship,Never,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2024/07/17 4:43:56 AM PDT,Yes,Male,28 and above,UDS,400,Muslim,Off Campus,Ga,Family,Sometimes,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/17 4:44:44 AM PDT,Yes,Male,28 and above,UDS,400,Cristian,Campus,Ewe,Loan,Frequently,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 4:45:47 AM PDT,Yes,Male,28 and above,UDS,400,Muslim,Off Campus,Others,Self,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 4:46:44 AM PDT,Yes,Male,28 and above,UDS,400,Cristian,Campus,Akan,Scholarship,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 4:47:40 AM PDT,Yes,Male,28 and above,UDS,400,Cristian,Off Campus,Ga,Family,Frequently,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 4:48:36 AM PDT,Yes,Male,28 and above,UDS,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 4:50:32 AM PDT,Yes,Male,28 and above,UDS,400,Cristian,Off Campus,Ga,Scholarship,Never,Yes,6,5,4,3,4,6,6,6,6,6,6,6,6,6,6
2024/07/17 4:53:23 AM PDT,Yes,Male,24 - 27,UDS,400,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/17 4:57:50 AM PDT,Yes,Male,28 and above,UDS,400,Cristian,Campus,Akan,Scholarship,Frequently,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 4:59:17 AM PDT,Yes,Male,21 - 23,UHAS,400,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:00:02 AM PDT,Yes,Male,21 - 23,UHAS,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 5:00:45 AM PDT,Yes,Male,21 - 23,UHAS,400,Cristian,Campus,Ewe,Family,Frequently,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 5:01:36 AM PDT,Yes,Male,21 - 23,UHAS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 5:02:19 AM PDT,Yes,Male,21 - 23,UDS,400,Cristian,Campus,Ewe,Family,Sometimes,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/17 5:07:35 AM PDT,Yes,Male,24 - 27,UHAS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/17 5:08:18 AM PDT,Yes,Male,24 - 27,UHAS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/17 5:09:02 AM PDT,Yes,Male,24 - 27,UHAS,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,5,4,4,6,3,2,1,0,6,5,6,6,5,6
2024/07/17 5:09:41 AM PDT,Yes,Male,24 - 27,UHAS,400,Cristian,Off Campus,Akan,Family,Frequently,Yes,6,5,6,6,6,0,1,2,3,3,4,5,6,5,4
2024/07/17 5:10:34 AM PDT,Yes,Male,17 - 20,UHAS,400,Cristian,Campus,Ewe,Family,Sometimes,Yes,6,6,6,5,5,3,2,1,0,6,5,6,6,5,6
2024/07/17 5:11:22 AM PDT,Yes,Male,17 - 20,UHAS,400,Cristian,Off Campus,Ewe,Scholarship,Sometimes,Yes,6,5,6,5,6,3,2,1,0,6,5,6,5,6,6
2024/07/17 5:12:05 AM PDT,Yes,Male,17 - 20,UHAS,400,Cristian,Off Campus,Ewe,Family,Never,Yes,6,6,6,6,6,0,1,2,3,3,4,5,6,6,6
2024/07/17 5:12:51 AM PDT,Yes,Male,17 - 20,UHAS,400,Cristian,Campus,Akan,Family,Sometimes,Yes,5,5,5,5,5,3,2,1,0,6,6,6,5,5,4
2024/07/17 5:13:37 AM PDT,Yes,Male,17 - 20,UHAS,400,Cristian,Campus,Others,Family,Never,Yes,6,6,6,6,6,1,2,3,4,6,5,4,6,5,6
2024/07/17 5:14:22 AM PDT,Yes,Female,17 - 20,UHAS,400,Cristian,Off Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,1,1,1,1,6,6,6,6,6,6
2024/07/17 5:15:01 AM PDT,Yes,Female,17 - 20,UHAS,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,0,0,0,0,5,5,5,5,5,5
2024/07/17 5:15:40 AM PDT,Yes,Female,17 - 20,UHAS,400,Cristian,Campus,Ewe,Loan,Frequently,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/17 5:16:25 AM PDT,Yes,Female,17 - 20,UHAS,400,Muslim,Off Campus,Others,Self,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/17 5:17:17 AM PDT,Yes,Female,17 - 20,UHAS,400,Cristian,Campus,Akan,Family,Never,Yes,6,5,4,3,6,0,1,2,3,6,5,4,3,6,5
2024/07/17 5:18:00 AM PDT,Yes,Female,21 - 23,UHAS,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6
2024/07/17 5:18:43 AM PDT,Yes,Female,21 - 23,UHAS,400,Muslim,Off Campus,Others,Family,Frequently,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/17 5:19:37 AM PDT,Yes,Female,21 - 23,UHAS,400,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,4,4,4,4,4,0,2,2,2,4,4,4,4,4,4
2024/07/17 5:20:48 AM PDT,Yes,Female,24 - 27,UHAS,400,Cristian,Off Campus,Ewe,Family,Frequently,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:21:36 AM PDT,Yes,Female,21 - 23,UHAS,400,Cristian,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/17 5:23:34 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ewe,Family,Never,Yes,6,6,5,5,6,3,2,1,0,6,5,6,5,6,5
2024/07/17 5:24:14 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:24:56 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5
2024/07/17 5:25:54 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ga,Family,Frequently,Yes,4,6,4,6,4,2,2,0,1,4,4,5,3,4,4
2024/07/17 5:26:44 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Ewe,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:27:27 AM PDT,Yes,Female,17 - 20,UHAS,300,Cristian,Off Campus,Others,Family,Never,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/17 5:28:31 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Off Campus,Akan,Scholarship,Sometimes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/17 5:29:16 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Off Campus,Akan,Family,Never,Yes,3,3,3,3,3,3,2,1,0,3,2,3,3,3,3
2024/07/17 5:30:17 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,5,4,3,6,1,3,0,2,3,3,3,6,6,6
2024/07/17 5:31:19 AM PDT,Yes,Male,17 - 20,UHAS,300,Cristian,Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3
2024/07/17 5:32:27 AM PDT,Yes,Female,21 - 23,UHAS,300,Cristian,Campus,Others,Family,Never,Yes,3,3,3,3,3,2,0,1,2,3,3,3,3,3,3
2024/07/17 5:33:23 AM PDT,Yes,Female,21 - 23,UHAS,300,Muslim,Off Campus,Others,Scholarship,Sometimes,Yes,6,5,6,6,6,1,2,1,2,6,5,4,3,4,6
2024/07/17 5:34:39 AM PDT,Yes,Female,21 - 23,UHAS,300,Cristian,Campus,Ewe,Family,Never,Yes,5,4,4,5,6,2,1,1,2,6,6,5,5,4,4
2024/07/17 5:35:37 AM PDT,Yes,Female,21 - 23,UHAS,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/17 5:36:20 AM PDT,Yes,Male,21 - 23,UHAS,300,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,5,5,4,3,2,1,0,3,3,4,4,5,5
2024/07/17 5:37:05 AM PDT,Yes,Male,21 - 23,UHAS,300,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,5,5,6,0,1,2,3,6,6,5,5,4,4
2024/07/17 5:37:57 AM PDT,Yes,Male,24 - 27,UHAS,300,Cristian,Campus,Ga,Family,Sometimes,Yes,3,3,4,5,6,2,1,1,2,4,6,6,5,4,6
2024/07/17 5:38:39 AM PDT,Yes,Male,24 - 27,UHAS,300,Muslim,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,1,2,1,2,5,5,5,5,5,5
2024/07/17 5:39:29 AM PDT,Yes,Male,24 - 27,UHAS,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,3,3,3,3,3,0,1,2,3,3,3,3,3,3,3
2024/07/17 5:40:30 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,3,2,1,0,6,6,6,6,6,6
2024/07/17 5:41:10 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Ga,Scholarship,Never,Yes,5,5,5,5,5,0,1,2,3,5,5,5,5,5,5
2024/07/17 5:42:05 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Ga,Scholarship,Sometimes,No,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5
2024/07/17 5:42:48 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Ga,Scholarship,Frequently,Yes,5,5,5,6,6,1,2,3,0,3,3,3,3,3,3
2024/07/17 5:43:40 AM PDT,Yes,Male,17 - 20,UHAS,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,5,4,3,6,0,1,1,0,6,5,5,6,6,5
2024/07/17 5:45:29 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Scholarship,Sometimes,Yes,6,5,6,5,6,6,5,6,5,6,5,6,5,6,5
2024/07/17 5:46:26 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Scholarship,Sometimes,No,6,6,6,6,6,5,5,6,6,6,6,6,6,6,5
2024/07/17 5:47:34 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Family,Never,No,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/17 5:48:36 AM PDT,Yes,Male,21 - 23,UHAS,200,Cristian,Campus,Ewe,Scholarship,Sometimes,Yes,6,6,6,6,6,3,3,3,3,6,5,6,5,6,5
2024/07/17 5:49:48 AM PDT,Yes,Male,24 - 27,UHAS,200,Cristian,Campus,Ewe,Family,Sometimes,Yes,6,6,6,6,6,6,3,3,3,6,6,6,6,6,6
2024/07/17 5:50:42 AM PDT,Yes,Male,24 - 27,UHAS,200,Muslim,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,3,3,2,2,5,5,5,5,5,5
2024/07/17 5:51:46 AM PDT,Yes,Male,24 - 27,UHAS,200,Cristian,Campus,Ewe,Family,Never,Yes,5,5,5,6,6,3,3,2,1,6,5,4,3,4,5
2024/07/17 5:52:51 AM PDT,Yes,Female,17 - 20,UHAS,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,5,6,6,6,2,3,2,3,5,4,3,4,5,6
2024/07/17 5:53:47 AM PDT,Yes,Female,21 - 23,UHAS,200,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,3,2,1,0,5,5,5,5,5,4
2024/07/17 5:54:35 AM PDT,Yes,Female,24 - 27,UHAS,200,Cristian,Campus,Ewe,Family,Frequently,Yes,6,5,4,3,6,3,2,1,0,6,5,4,3,4,5
2024/07/17 5:55:20 AM PDT,Yes,Female,17 - 20,UHAS,200,Cristian,Off Campus,Others,Family,Sometimes,Yes,6,5,6,6,5,0,1,2,3,6,5,4,3,4,6
2024/07/17 5:56:03 AM PDT,Yes,Female,21 - 23,UHAS,200,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,5,4,3,4,2,1,2,1,6,5,6,5,6,5
2024/07/17 5:56:51 AM PDT,Yes,Female,17 - 20,UHAS,200,Cristian,Campus,Akan,Family,Sometimes,Yes,6,6,5,5,6,3,2,1,2,6,5,6,5,6,5
2024/07/17 5:57:43 AM PDT,Yes,Female,21 - 23,UHAS,200,Cristian,Campus,Ewe,Family,Sometimes,Yes,6,5,6,5,6,2,1,2,1,6,5,4,6,5,6
